Qty,Description,Possible MPN,Package,Notes/Source,Mouser Part Number,Manufacturer Part Number,Manufacturer Name,Mouser Description,Datasheet URL,Price,Availability,Match Status
1,"ESP32 Wi-Fi/BT Module, 8MB Flash, 2MB PSRAM",ESP32-WROOM-32E-N8R2,RF_Module:ESP32-WROOM-32E,"Sufficient for MP3, SMT. Use Espressif KiCad Lib. Verify footprint.",356-ESP32WRM32EN8R2,ESP32-WROOM-32E-N8R2,Espressif Systems,"Multiprotocol Modules ESP32-WROOM-32E integrates ESP32-D0WD-V3, with higher stability and safety performance.",https://www.mouser.com/datasheet/2/891/esp32_wroom_32e_esp32_wroom_32ue_datasheet_en-1855879.pdf,$2.88,In Stock,Matched
1,"LDO Voltage Regulator, 3.3V, 1A",AMS1117-3.3,Package_TO_SOT_SMD:SOT-223-3,"Common LDO, requires caps.",584-ADP3338AKCZ3.3R,ADP3338AKCZ-3.3-RL,Analog Devices,Linear Voltage Regulators 1A anyCAP LDO,https://www.mouser.com/datasheet/2/609/ADP3338-1503401.pdf,$3.58,In Stock,Matched
1,LED Red SMD,,,,941-XQERED0000501,XQERED-00-0000-000000501,Cree LED,"Single Color LEDs RED, 56.8LM",https://www.mouser.com/datasheet/2/723/XLamp_XQE-3359582.pdf,$1.32,In Stock,Matched
25,Cherry MX Keys,,,Soldered on,540-G84-4100LCAUS-2,G84-4100LCAUS-2,CHERRY,Input Devices 5V Blck 11in mini kybrd,https://www.mouser.com/datasheet/2/71/US_Compact_Keyboard_G84_4100-1519129.pdf,$79.39,In Stock,Matched
6,Capacitor 0.1µF Ceramic,,Capacitor_SMD:C_0805_2012Metric,0805,581-KAM21BR71H104JT,KAM21BR71H104JT,KYOCERA AVX,Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V .1uF X7R 0805 5% AEC-Q200,https://www.mouser.com/datasheet/2/40/AutoMLCCKAM-3216307.pdf,$0.20,In Stock,Matched
