Qty,Description,Possible MPN,Package,Notes/Source,Mouser Part Number,Manufacturer Part Number,Manufacturer Name,Mouser Description,Datasheet URL,Price,Availability,Match Status
1,"ESP32 Wi-Fi/BT Module, 8MB Flash, 2MB PSRAM",ESP32-WROOM-32E-N8R2,RF_Module:ESP32-WROOM-32E,"Sufficient for MP3, SMT. Use Espressif KiCad Lib. Verify footprint.",356-ESP32WRM32EN8R2,ESP32-WROOM-32E-N8R2,Espressif Systems,"Multiprotocol Modules ESP32-WROOM-32E integrates ESP32-D0WD-V3, with higher stability and safety performance.",https://www.mouser.com/datasheet/2/891/esp32_wroom_32e_esp32_wroom_32ue_datasheet_en-1855879.pdf,$2.88,In Stock,Matched
1,"LDO Voltage Regulator, 3.3V, 1A",AMS1117-3.3,Package_TO_SOT_SMD:SOT-223-3,"Common LDO, requires caps.",584-ADP3338AKCZ3.3R,ADP3338AKCZ-3.3-RL,Analog Devices,Linear Voltage Regulators 1A anyCAP LDO,https://www.mouser.com/datasheet/2/609/ADP3338-1503401.pdf,$3.58,In Stock,Matched
1,LED Red SMD,,,,997-L1RX-RED10,L1RX-RED1000000000,Lumileds,"Single Color LEDs LUXEON RUBIX Color, Red 620nm-630nm",,$2.58,In Stock,Matched
25,Cherry MX Keys,,,Soldered on,540-MX1A-11DN,MX1A-11DN,CHERRY,"Pushbutton Switches Black Stem, Full Travel Mechanical KeyswitchLinear Feel, 60cNWith Diode, No LEDFrame Mount (no fixation pins)",https://www.mouser.com/datasheet/2/71/chcp_s_a0000003074_1-2262931.pdf,$1.02,In Stock,Matched
6,Capacitor 0.1µF Ceramic,,Capacitor_SMD:C_0805_2012Metric,0805,581-KAM21BR71H104JT,KAM21BR71H104JT,KYOCERA AVX,Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V .1uF X7R 0805 5% AEC-Q200,https://www.mouser.com/datasheet/2/40/AutoMLCCKAM-3216307.pdf,$0.20,In Stock,Matched
