Qty,Description,Possible MPN,Package,Notes/Source,Mouser Part Number,Manufacturer Part Number,Manufacturer Name,Mouser Description,Datasheet URL,Price,Availability,Match Status
1,"ESP32 Wi-Fi/BT Module, 8MB Flash, 2MB PSRAM",ESP32-WROOM-32E-N8R2,RF_Module:ESP32-WROOM-32E,"Sufficient for MP3, SMT. Use Espressif KiCad Lib. Verify footprint.",356-ESP32WRM32EN8R2,ESP32-WROOM-32E-N8R2,Espressif Systems,"Multiprotocol Modules ESP32-WROOM-32E integrates ESP32-D0WD-V3, with higher stability and safety performance.",https://www.mouser.com/datasheet/2/891/esp32_wroom_32e_esp32_wroom_32ue_datasheet_en-1855879.pdf,$2.88,In Stock,Matched
1,"USB Type-C Receptacle, 2.0, 16-pin, Horiz, SMT w/ posts",UJ20-C-H-G-SMT-4-P16-TR,Connector_USB:USB_C_Receptacle_...,"SameSky, 5A, 48V. Find/verify footprint.",179-UJ20CHGSMT4P16TR,UJ20-C-H-G-SMT-4-P16-TR,Same Sky,"USB Connectors Type C, 2.0, Horizontal, Gold Plated 3u, Surface Mount with post, 16 pin, T&R",https://www.mouser.com/datasheet/2/1628/uj20_c_h_g_smt_4_p16_tr-3575366.pdf,$0.60,In Stock,Matched
1,USB-to-UART Bridge,CP2102N-A02-GQFN24,Package_DFN_QFN:QFN-24-1EP_...,"Silicon Labs, Integrated Osc.. Find/verify footprint.",634-CP2102NA02GQFN24,CP2102N-A02-GQFN24,Silicon Labs,USB Interface IC USBXpress - USB to UART Bridge QFN24,https://www.mouser.com/datasheet/2/368/cp2102n_datasheet-1634912.pdf,$5.59,In Stock,Matched
1,"LDO Voltage Regulator, 3.3V, 1A",AMS1117-3.3,Package_TO_SOT_SMD:SOT-223-3,"Common LDO, requires caps.",584-ADP3338AKCZ3.3R7,ADP3338AKCZ-3.3RL7,Analog Devices,Linear Voltage Regulators 1A anyCAP LDO,https://www.mouser.com/datasheet/2/609/ADP3338-1503401.pdf,$3.58,In Stock,Matched
1,LED Red SMD,,LED_SMD:LED_0805_2012Metric,Power status indicator,941-XRCREDL100M01,XRCRED-L1-0000-00M01,Cree LED,Single Color LEDs Red 39.8lm XLamp XR-C LED,https://www.mouser.com/datasheet/2/723/XLamp_XRC-3402075.pdf,$3.18,In Stock,Matched
1,LED Blue SMD,,LED_SMD:LED_0805_2012Metric,Blink LED (e.g. on GPIO2),604-AA2214QBS/D,AA2214QBS/D,Kingbright,Single Color LEDs Blue 470nm 150mcd Water Clr 120 Deg,https://www.mouser.com/datasheet/2/216/AA2214QBS-D-35704.pdf,$0.67,In Stock,Matched
6,Capacitor 0.1µF Ceramic,,Capacitor_SMD:C_0805_2012Metric,Decoupling caps,581-KAM21BR71H104JT,KAM21BR71H104JT,KYOCERA AVX,Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V .1uF X7R 0805 5% AEC-Q200,https://www.mouser.com/datasheet/2/40/AutoMLCCKAM-3216307.pdf,$0.20,In Stock,Matched
